ID	MALAT1	Type
TCGA-91-6831-11A-02R-1858-07	53.09962	Normal
TCGA-50-5933-11A-01R-1755-07	34.47953	Normal
TCGA-50-5939-11A-01R-1628-07	12.16006	Normal
TCGA-73-4676-11A-01R-1755-07	12.81149	Normal
TCGA-55-6979-11A-01R-1949-07	34.73832	Normal
TCGA-50-5930-11A-01R-1755-07	13.53362	Normal
TCGA-38-4632-11A-01R-1755-07	8.284524	Normal
TCGA-49-4490-11A-01R-1858-07	3.482482	Normal
TCGA-44-3398-11B-01R-1758-07	14.78894	Normal
TCGA-44-6777-11A-01R-1858-07	8.531014	Normal
TCGA-55-6978-11A-01R-1949-07	23.13262	Normal
TCGA-55-6972-11A-01R-1949-07	39.52634	Normal
TCGA-55-6985-11A-01R-1949-07	41.14151	Normal
TCGA-44-6147-11A-01R-1858-07	27.93142	Normal
TCGA-MP-A4T8-01A-11R-A24X-07	22.5044	Tumor
TCGA-MP-A4T6-01A-32R-A262-07	71.17993	Tumor
TCGA-49-4510-01A-01R-1206-07	17.16497	Tumor
TCGA-67-3772-01A-01R-0946-07	4.226756	Tumor
TCGA-69-7763-01A-11R-2170-07	17.42912	Tumor
TCGA-05-4410-01A-21R-1858-07	36.72284	Tumor
TCGA-95-7039-01A-11R-1949-07	20.70009	Tumor
TCGA-MP-A4TC-01A-11R-A24X-07	19.31198	Tumor
TCGA-62-A46S-01A-11R-A24H-07	54.21118	Tumor
TCGA-95-A4VK-01A-11R-A262-07	46.2954	Tumor
TCGA-49-AARO-01A-12R-A41B-07	48.12968	Tumor
TCGA-55-7994-01A-11R-2187-07	27.09073	Tumor
TCGA-49-6743-01A-11R-1858-07	9.763487	Tumor
TCGA-78-7149-01A-11R-2039-07	10.18705	Tumor
TCGA-44-7660-01A-11R-2066-07	44.68816	Tumor
TCGA-53-7626-01A-12R-2066-07	19.73424	Tumor
TCGA-44-8119-01A-11R-2241-07	19.75534	Tumor
TCGA-44-2656-01A-02R-0946-07	21.47216	Tumor
TCGA-78-7153-01A-11R-2039-07	11.60791	Tumor
TCGA-55-6987-01A-11R-1949-07	23.94159	Tumor
TCGA-78-7539-01A-11R-2066-07	23.83513	Tumor
TCGA-83-5908-01A-21R-2287-07	54.84242	Tumor
TCGA-95-7567-01A-11R-2066-07	7.361239	Tumor
TCGA-55-7574-01A-11R-2039-07	64.49811	Tumor
TCGA-44-7667-01A-31R-2066-07	1.576517	Tumor
TCGA-75-6205-01A-11R-1755-07	14.01775	Tumor
TCGA-69-8254-01A-11R-2287-07	22.80405	Tumor
TCGA-44-A47G-01A-21R-A24H-07	34.26874	Tumor
TCGA-44-2668-01A-01R-A278-07	541.9304	Tumor
TCGA-44-6775-01C-02R-A277-07	4743.87	Tumor
TCGA-78-7163-01A-12R-2066-07	79.72553	Tumor
TCGA-91-A4BC-01A-11R-A24H-07	46.61537	Tumor
TCGA-55-5899-01A-11R-1628-07	23.02871	Tumor
TCGA-J2-A4AD-01A-11R-A24H-07	28.49873	Tumor
TCGA-69-7974-01A-11R-2187-07	28.25238	Tumor
TCGA-69-7980-01A-11R-2187-07	36.67942	Tumor
TCGA-05-4417-01A-22R-1858-07	20.15406	Tumor
TCGA-75-5122-01A-01R-1755-07	22.32339	Tumor
TCGA-05-5425-01A-02R-1628-07	4.364726	Tumor
TCGA-44-6146-01A-11R-1755-07	10.92668	Tumor
TCGA-67-3770-01A-01R-0946-07	13.255	Tumor
TCGA-MP-A4T4-01A-11R-A262-07	35.79676	Tumor
TCGA-05-4403-01A-01R-1206-07	1.449385	Tumor
TCGA-97-7938-01A-11R-2170-07	56.20559	Tumor
TCGA-62-A46P-01A-11R-A24H-07	22.16356	Tumor
TCGA-NJ-A4YF-01A-12R-A262-07	47.06606	Tumor
TCGA-50-5055-01A-01R-1628-07	3.268816	Tumor
TCGA-44-6776-01A-11R-1858-07	23.82778	Tumor
TCGA-62-8399-01A-21R-2326-07	30.14561	Tumor
TCGA-64-5775-01A-01R-1628-07	4.38228	Tumor
TCGA-86-8672-01A-21R-2403-07	12.98904	Tumor
TCGA-64-1677-01A-01R-0946-07	19.15677	Tumor
TCGA-93-A4JO-01A-21R-A24X-07	36.13371	Tumor
TCGA-NJ-A4YP-01A-11R-A262-07	15.4152	Tumor
TCGA-05-4389-01A-01R-1206-07	9.464918	Tumor
TCGA-97-8171-01A-11R-2287-07	51.22349	Tumor
TCGA-05-4425-01A-01R-1755-07	4.908205	Tumor
TCGA-44-6147-01B-06R-A277-07	4841.257	Tumor
TCGA-91-6835-01A-11R-1858-07	29.66682	Tumor
TCGA-55-1592-01A-01R-0946-07	26.98391	Tumor
TCGA-69-7760-01A-11R-2170-07	77.58702	Tumor
TCGA-64-5778-01A-01R-1628-07	7.74385	Tumor
TCGA-55-8620-01A-11R-2403-07	24.5175	Tumor
TCGA-53-7813-01A-11R-2170-07	183.5883	Tumor
TCGA-55-6982-01A-11R-1949-07	12.78304	Tumor
TCGA-55-A491-01A-11R-A24H-07	12.21279	Tumor
TCGA-55-8094-01A-11R-2241-07	29.83519	Tumor
TCGA-62-A46R-01A-11R-A24H-07	56.74626	Tumor
TCGA-78-7542-01A-21R-2066-07	18.12932	Tumor
TCGA-86-8073-01A-11R-2241-07	36.8918	Tumor
TCGA-49-AAR9-01A-21R-A41B-07	8.307403	Tumor
TCGA-91-6848-01A-11R-1949-07	10.07103	Tumor
TCGA-05-4424-01A-22R-1858-07	8.680709	Tumor
TCGA-55-7227-01A-11R-2039-07	21.08908	Tumor
